136, -1096, 16392, -159, 404, 595
-256, -608, 16368, -159, 395, 600
304, -344, 16248, -153, 403, 608
-376, -408, 16336, -160, 391, 608
-88, -616, 16408, -153, 386, 608
-248, -496, 16304, -161, 390, 607
-72, -1160, 16408, -150, 383, 605
152, -440, 16272, -157, 381, 603
-8, -512, 16400, -156, 380, 602
-208, -752, 16368, -153, 378, 614
-16, -392, 16376, -141, 359, 608
-216, -528, 16160, -150, 359, 615
-536, -336, 16368, -143, 366, 615
-112, -640, 16320, -140, 360, 609
264, -2896, 16376, -136, 364, 605
48, -312, 16304, -135, 348, 614
-488, -304, 16232, -140, 353, 616
-192, -80, 16336, -130, 360, 602
-96, 48, 16480, -135, 350, 611
648, -936, 16072, -138, 349, 618
-168, -352, 16144, -121, 353, 609
-280, -176, 16456, -119, 336, 619
-192, -424, 16264, -123, 350, 621
-272, -288, 16320, -118, 350, 609
-408, -360, 16264, -108, 346, 619
-192, -352, 16432, -110, 341, 612
-352, -192, 16272, -102, 340, 616
-128, -304, 16288, -105, 349, 617
-568, -408, 16384, -108, 349, 615
-296, -120, 16264, -104, 335, 616
-304, -224, 16312, -97, 348, 621
-424, -216, 16360, -96, 346, 622
-288, -64, 16432, -97, 353, 621
-184, -544, 16288, -91, 356, 612
-952, 256, 16064, -84, 356, 615
-120, -432, 16256, -77, 364, 617
-72, -392, 16224, -76, 375, 609
-408, -312, 16328, -86, 374, 615
-248, -64, 16416, -77, 364, 617
-248, -304, 16248, -77, 366, 624
-512, -248, 16424, -71, 377, 614
-104, -352, 16240, -78, 387, 611
-272, -216, 16392, -76, 370, 621
-376, -184, 16384, -65, 378, 617
104, -112, 16352, -70, 381, 615
-456, -592, 16136, -73, 387, 611
-328, -536, 16304, -62, 388, 612
-296, -360, 16352, -70, 386, 617
104, -72, 16536, -62, 403, 601
-160, -48, 16320, -67, 401, 612
-240, -224, 16144, -71, 407, 609
200, -408, 16336, -72, 406, 608
-368, -512, 16240, -66, 407, 614
-792, -520, 16248, -72, 415, 608
-32, -232, 16272, -78, 422, 614
-560, -48, 16424, -73, 422, 616
-208, -120, 16216, -84, 423, 617
-568, -96, 16296, -74, 425, 624
-432, -248, 16344, -77, 438, 622
-456, 72, 16296, -79, 425, 612
-208, -24, 16416, -93, 435, 612
360, 632, 16200, -81, 440, 615
-904, -48, 16392, -90, 429, 621
-160, -896, 16384, -78, 432, 618
-888, 0, 15904, -89, 425, 619
-176, 16, 16208, -91, 433, 619
-328, -1640, 16400, -81, 433, 622
760, 64, 16168, -90, 434, 621
