-304,17264,-2328
232,15888,-1336
648,16032,-952
448,16120,344
248,16056,2312
792,18344,4496
872,15584,5448
384,13400,6216
392,11184,7704
400,13080,9896
-352,12176,10760
0,10848,11240
-200,11416,13928
-312,10056,13032
-832,9128,10232
